"Uniform Distribution (Random)","nlgn","Mergesort1","Mergesort2","Mergesort3","Mergesort4","Mergesort5","QuickSort1","QuickSort2","QuickSort3","QuickSort4","QuickSort5","QuickSort with Insertion1","QuickSort with Insertion2","QuickSort with Insertion3","QuickSort with Insertion4","QuickSort with Insertion5","QuickSort Med 31","QuickSort Med 32","QuickSort Med 33","QuickSort Med 34","QuickSort Med 35","HeapSort1","HeapSort2","HeapSort3","HeapSort4","HeapSort5",
50000,780482,9,8,8,8,9,1,1,2,2,2,2,2,2,2,1,3,3,3,3,3,7,6,6,6,6,
100000,1660964,20,18,18,17,17,3,4,3,3,3,3,3,3,3,3,7,6,7,7,6,13,18,13,13,14,
200000,3521928,40,37,44,38,43,7,7,7,7,7,7,6,7,6,7,13,13,13,13,13,33,29,33,28,33,
500000,9465784,112,105,105,102,114,19,20,20,20,30,16,17,20,16,17,39,40,35,39,37,87,77,81,76,82,
"Nearly Sorted","nlgn","Mergesort1","Mergesort2","Mergesort3","Mergesort4","Mergesort5","QuickSort1","QuickSort2","QuickSort3","QuickSort4","QuickSort5","QuickSort with Insertion1","QuickSort with Insertion2","QuickSort with Insertion3","QuickSort with Insertion4","QuickSort with Insertion5","QuickSort Med 31","QuickSort Med 32","QuickSort Med 33","QuickSort Med 34","QuickSort Med 35","HeapSort1","HeapSort2","HeapSort3","HeapSort4","HeapSort5",
10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000,9966,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5000,61439,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,
10000,132877,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,
50000,780482,9,10,9,9,8,2,2,2,2,1,1,1,1,1,2,4,3,4,3,3,6,6,7,6,6,
100000,1660964,20,18,19,18,19,3,4,3,3,3,3,3,3,3,5,7,7,9,6,6,13,15,14,13,14,
200000,3521928,42,39,45,39,52,7,7,7,7,7,12,7,6,6,7,13,13,13,13,13,29,29,28,33,29,
500000,9465784,110,103,103,104,111,20,19,20,20,20,16,16,17,36,17,35,35,36,36,36,82,77,77,76,76,
